2025-07-28T19:59:01Z,5.29,10.46,13.18,Tatu Telecom Company SEZ Limited,Liquid Intelligent Technologies
2025-07-28T20:04:51Z,8.24,11.85,13.94,Tatu Telecom Company SEZ Limited,Bulsho Fiber Link Ltd,Ghost
2025-07-28T20:30:01Z,7.29,8.88,13.14,Tatu Telecom Company SEZ Limited,Rasmilink Communication Limited,Ghost
2025-07-28T20:42:43Z,8.6,13.8,14.35,Tatu Telecom Company SEZ Limited,Angani Ltd,Ghost
